ASSERTION	AAEDAAEBAwAAAAAAAMCSQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	myHomeTest.RecordedSimulation	recordedsimulation	1603666601420	 	3.3.1
USER	RecordedSimulation	1	START	1603666602809	1603666602809
REQUEST	1		OpenSite	1603666602832	1603666604193	OK	 
USER	RecordedSimulation	2	START	1603666605828	1603666605828
REQUEST	2		OpenSite	1603666605829	1603666607142	OK	 
REQUEST	1		SearchProduct	1603666607043	1603666608025	OK	 
USER	RecordedSimulation	3	START	1603666608800	1603666608800
REQUEST	3		OpenSite	1603666608800	1603666609288	OK	 
REQUEST	2		SearchProduct	1603666609018	1603666610002	OK	 
USER	RecordedSimulation	4	START	1603666611817	1603666611817
REQUEST	1		OpenSearchPage	1603666612619	1603666613032	OK	 
REQUEST	4		OpenSite	1603666611818	1603666613122	OK	 
USER	RecordedSimulation	5	START	1603666614826	1603666614826
REQUEST	2		OpenSearchPage	1603666614217	1603666615325	OK	 
REQUEST	3		SearchProduct	1603666613968	1603666615336	OK	 
REQUEST	5		OpenSite	1603666614827	1603666616204	OK	 
REQUEST	4		SearchProduct	1603666616630	1603666617598	OK	 
REQUEST	1		OpenPDP	1603666616771	1603666618070	OK	 
REQUEST	2		OpenPDP	1603666617598	1603666618122	OK	 
REQUEST	3		OpenSearchPage	1603666618171	1603666618610	OK	 
REQUEST	4		OpenSearchPage	1603666618877	1603666619957	OK	 
REQUEST	2		AddToCart	1603666620751	1603666621060	OK	 
REQUEST	5		SearchProduct	1603666621134	1603666621438	OK	 
REQUEST	1		AddToCart	1603666621369	1603666622345	OK	 
REQUEST	5		OpenSearchPage	1603666622662	1603666623106	OK	 
REQUEST	4		OpenPDP	1603666622038	1603666623337	OK	 
REQUEST	2		GoToCart	1603666622558	1603666623847	OK	 
REQUEST	3		OpenPDP	1603666622694	1603666623973	OK	 
USER	RecordedSimulation	2	END	1603666605828	1603666624860
REQUEST	4		AddToCart	1603666625435	1603666626389	OK	 
REQUEST	1		GoToCart	1603666626338	1603666626758	OK	 
USER	RecordedSimulation	1	END	1603666602809	1603666627768
REQUEST	5		OpenPDP	1603666627845	1603666628328	OK	 
REQUEST	4		GoToCart	1603666628448	1603666628897	OK	 
REQUEST	3		AddToCart	1603666628748	1603666629067	OK	 
USER	RecordedSimulation	4	END	1603666611817	1603666629898
REQUEST	5		AddToCart	1603666629652	1603666629946	OK	 
REQUEST	3		GoToCart	1603666631420	1603666631872	OK	 
USER	RecordedSimulation	3	END	1603666608800	1603666632880
REQUEST	5		GoToCart	1603666634458	1603666634904	OK	 
USER	RecordedSimulation	5	END	1603666614826	1603666635903
